x;y
0.00343643;1
0.00687285;1
0.0103093;1
0.0137457;1
0.0171821;1
0.0206186;1
0.024055;1
0.0274914;1
0.0309278;1
0.0343643;1
0.0378007;1
0.0412371;1
0.0446735;1
0.04811;1
0.0515464;1
0.0549828;1
0.0584192;1
0.0618557;1
0.0652921;1
0.0687285;1
0.0721649;1
0.0756014;1
0.0790378;1
0.0824742;1
0.0859107;1
0.0893471;1
0.0927835;1
0.0962199;1
0.0996564;1
0.103093;1
0.106529;1
0.109966;1
0.113402;1
0.116838;1
0.120275;1
0.123711;1
0.127148;1
0.130584;1
0.134021;1
0.137457;1
0.140893;1
0.14433;1
0.147766;1
0.151203;1
0.154639;1
0.158076;1
0.161512;1
0.164948;1
0.168385;1
0.171821;1
0.175258;1
0.178694;1
0.182131;1
0.185567;1
0.189003;1
0.19244;1
0.195876;1
0.199313;1
0.202749;1
0.206186;1
0.209622;1
0.213058;1
0.216495;1
0.219931;1
0.223368;1
0.226804;1
0.230241;1
0.233677;1
0.237113;1
0.24055;1
0.243986;1
0.247423;1
0.250859;1
0.254296;1
0.257732;1
0.261168;1
0.264605;1
0.268041;1
0.271478;1
0.274914;1
0.278351;1
0.281787;1
0.285223;1
0.28866;1
0.292096;1
0.295533;1
0.298969;1
0.302405;1
0.305842;1
0.309278;1
0.312715;1
0.316151;1
0.319588;1
0.323024;1
0.32646;1
0.329897;1
0.333333;1
0.33677;1
0.340206;1
0.343643;1
0.347079;1
0.350515;1
0.353952;1
0.357388;1
0.360825;1
0.364261;1
0.367698;1
0.371134;1
0.37457;1
0.378007;1
0.381443;1
0.38488;1
0.388316;1
0.391753;1
0.395189;1
0.398625;1
0.402062;1
0.405498;1
0.408935;1
0.408935;0.991667
0.412371;0.991736
0.415808;0.991803
0.419244;0.99187
0.42268;0.991935
0.426117;0.992
0.429553;0.992063
0.43299;0.992126
0.436426;0.992188
0.439863;0.992248
0.443299;0.992308
0.443299;0.984733
0.446735;0.984848
0.450172;0.984962
0.453608;0.985075
0.457045;0.985185
0.460481;0.985294
0.460481;0.978102
0.463918;0.978261
0.467354;0.978417
0.47079;0.978571
0.47079;0.971631
0.474227;0.971831
0.477663;0.972028
0.4811;0.972222
0.484536;0.972414
0.487973;0.972603
0.491409;0.972789
0.494845;0.972973
0.498282;0.973154
0.501718;0.973333
0.501718;0.966887
0.505155;0.967105
0.508591;0.96732
0.512027;0.967532
0.512027;0.96129
0.515464;0.961538
0.5189;0.961783
0.522337;0.962025
0.525773;0.962264
0.52921;0.9625
0.532646;0.962733
0.536082;0.962963
0.539519;0.96319
0.542955;0.963415
0.546392;0.963636
0.549828;0.963855
0.553265;0.964072
0.556701;0.964286
0.560137;0.964497
0.563574;0.964706
0.563574;0.959064
0.56701;0.959302
0.570447;0.959538
0.573883;0.95977
0.573883;0.954286
0.57732;0.954545
0.580756;0.954802
0.584192;0.955056
0.587629;0.955307
0.591065;0.955556
0.594502;0.955801
0.597938;0.956044
0.601375;0.956284
0.604811;0.956522
0.608247;0.956757
0.611684;0.956989
0.611684;0.951872
0.61512;0.952128
0.618557;0.952381
0.621993;0.952632
0.621993;0.947644
0.621993;0.942708
0.62543;0.943005
0.628866;0.943299
0.628866;0.938462
0.632302;0.938776
0.635739;0.939086
0.639175;0.939394
0.639175;0.934673
0.642612;0.935
0.646048;0.935323
0.649485;0.935644
0.652921;0.935961
