x;y
0.00392157;1
0.00784314;1
0.0117647;1
0.0156863;1
0.0196078;1
0.0235294;1
0.027451;1
0.0313725;1
0.0352941;1
0.0392157;1
0.0431373;1
0.0470588;1
0.0509804;1
0.054902;1
0.0588235;1
0.0627451;1
0.0666667;1
0.0705882;1
0.0745098;1
0.0784314;1
0.0823529;1
0.0862745;1
0.0901961;1
0.0941176;1
0.0980392;1
0.101961;1
0.105882;1
0.109804;1
0.113725;1
0.117647;1
0.121569;1
0.12549;1
0.129412;1
0.133333;1
0.137255;1
0.141176;1
0.145098;1
0.14902;1
0.152941;1
0.156863;1
0.160784;1
0.164706;1
0.168627;1
0.172549;1
0.176471;1
0.180392;1
0.184314;1
0.188235;1
0.192157;1
0.196078;1
0.2;1
0.203922;1
0.207843;1
0.211765;1
0.215686;1
0.219608;1
0.223529;1
0.227451;1
0.231373;1
0.235294;1
0.239216;1
0.243137;1
0.247059;1
0.25098;1
0.254902;1
0.258824;1
0.262745;1
0.266667;1
0.270588;1
0.27451;1
0.278431;1
0.282353;1
0.286275;1
0.290196;1
0.294118;1
0.298039;1
0.301961;1
0.305882;1
0.309804;1
0.313725;1
0.317647;1
0.321569;1
0.32549;1
0.329412;1
0.333333;1
0.337255;1
0.341176;1
0.345098;1
0.34902;1
0.352941;1
0.356863;1
0.360784;1
0.364706;1
0.368627;1
0.372549;1
0.376471;1
0.380392;1
0.384314;1
0.388235;1
0.392157;1
0.396078;1
0.4;1
0.403922;1
0.407843;1
0.411765;1
0.415686;1
0.419608;1
0.423529;1
0.427451;1
0.431373;1
0.435294;1
0.439216;1
0.443137;1
0.447059;1
0.45098;1
0.454902;1
0.458824;1
0.462745;1
0.466667;1
0.470588;1
0.47451;1
0.478431;1
0.482353;1
0.486275;1
0.490196;1
0.494118;1
0.498039;1
0.501961;1
0.505882;1
0.509804;1
0.513725;1
0.517647;1
0.521569;1
0.52549;1
0.529412;1
0.533333;1
0.537255;1
0.541176;1
0.545098;1
0.54902;1
0.552941;1
0.556863;1
0.560784;1
0.564706;1
0.568627;1
0.572549;1
0.576471;1
0.580392;1
0.584314;1
0.584314;0.993333
0.588235;0.993377
0.592157;0.993421
0.596078;0.993464
0.6;0.993506
0.603922;0.993548
0.607843;0.99359
0.611765;0.993631
0.615686;0.993671
0.619608;0.993711
0.623529;0.99375
0.627451;0.993789
0.631373;0.993827
0.635294;0.993865
0.639216;0.993902
0.643137;0.993939
0.647059;0.993976
0.65098;0.994012
0.654902;0.994048
0.658824;0.994083
0.662745;0.994118
0.666667;0.994152
0.670588;0.994186
0.67451;0.99422
0.678431;0.994253
0.678431;0.988571
0.678431;0.982955
0.682353;0.983051
0.686275;0.983146
0.690196;0.98324
0.694118;0.983333
0.698039;0.983425
0.701961;0.983516
0.705882;0.983607
0.705882;0.978261
0.705882;0.972973
0.709804;0.973118
0.709804;0.967914
0.709804;0.962766
0.713725;0.962963
0.713725;0.957895
0.713725;0.95288
0.713725;0.947917
0.717647;0.948187
0.721569;0.948454
0.721569;0.94359
0.72549;0.943878
0.729412;0.944162
0.729412;0.939394
0.733333;0.939698
0.733333;0.935
0.737255;0.935323
0.737255;0.930693
0.741176;0.931034
0.741176;0.926471
0.745098;0.926829
0.74902;0.927184
0.74902;0.922705
0.74902;0.918269
0.752941;0.91866
0.756863;0.919048
0.760784;0.919431
0.760784;0.915094
0.764706;0.915493
0.768627;0.915888
0.772549;0.916279
0.776471;0.916667
0.776471;0.912442
0.780392;0.912844
0.780392;0.908676
0.780392;0.904545
0.784314;0.904977
0.784314;0.900901
0.784314;0.896861
0.784314;0.892857
0.788235;0.893333
0.788235;0.889381
0.788235;0.885463
0.792157;0.885965
0.792157;0.882096
0.792157;0.878261
0.792157;0.874459
0.796078;0.875
0.8;0.875536
0.8;0.871795
0.8;0.868085
0.8;0.864407
0.8;0.860759
0.8;0.857143
0.8;0.853556
0.8;0.85
0.803922;0.850622
0.803922;0.847107
0.803922;0.843621
0.807843;0.844262
0.807843;0.840816
0.807843;0.837398
0.807843;0.834008
0.811765;0.834677
0.815686;0.835341
0.815686;0.832
0.815686;0.828685
0.819608;0.829365
0.819608;0.826087
0.819608;0.822835
0.819608;0.819608
0.819608;0.816406
0.823529;0.817121
0.823529;0.813953
0.823529;0.810811
0.823529;0.807692
0.823529;0.804598
0.823529;0.801527
0.823529;0.798479
0.823529;0.795455
0.823529;0.792453
0.823529;0.789474
0.823529;0.786517
0.823529;0.783582
0.823529;0.780669
0.823529;0.777778
0.823529;0.774908
0.823529;0.772059
0.827451;0.772894
0.827451;0.770073
0.831373;0.770909
0.831373;0.768116
0.831373;0.765343
0.831373;0.76259
0.831373;0.759857
0.831373;0.757143
0.831373;0.754448
0.831373;0.751773
0.831373;0.749117
0.831373;0.746479
0.831373;0.74386
0.831373;0.741259
0.831373;0.738676
0.831373;0.736111
0.835294;0.737024
0.839216;0.737931
0.839216;0.735395
0.839216;0.732877
0.839216;0.730375
0.839216;0.727891
0.839216;0.725424
0.843137;0.726351
0.843137;0.723906
0.847059;0.724832
0.847059;0.722408
0.847059;0.72
0.847059;0.717608
0.847059;0.715232
0.847059;0.712871
0.847059;0.710526
0.847059;0.708197
0.847059;0.705882
0.847059;0.703583
0.847059;0.701299
0.85098;0.702265
0.85098;0.7
0.85098;0.697749
0.85098;0.695513
0.854902;0.696486
0.854902;0.694268
0.854902;0.692063
0.854902;0.689873
0.854902;0.687697
0.854902;0.685535
0.858824;0.68652
0.862745;0.6875
0.866667;0.688474
0.866667;0.686335
0.866667;0.684211
0.866667;0.682099
0.866667;0.68
0.866667;0.677914
0.866667;0.675841
0.866667;0.67378
0.866667;0.671733
0.866667;0.669697
0.866667;0.667674
0.866667;0.665663
0.866667;0.663664
0.866667;0.661677
0.866667;0.659701
0.866667;0.657738
0.866667;0.655786
0.866667;0.653846
0.866667;0.651917
0.866667;0.65
0.866667;0.648094
0.866667;0.646199
0.866667;0.644315
0.870588;0.645349
0.870588;0.643478
0.87451;0.644509
0.87451;0.642651
0.87451;0.640805
0.878431;0.641834
0.878431;0.64
0.882353;0.641026
0.882353;0.639205
0.882353;0.637394
