x;y
0.00398406;1
0.00796813;1
0.0119522;1
0.0159363;1
0.0199203;1
0.0239044;1
0.0278884;1
0.0318725;1
0.0358566;1
0.0398406;1
0.0438247;1
0.0478088;1
0.0517928;1
0.0557769;1
0.059761;1
0.063745;1
0.0677291;1
0.0717131;1
0.0756972;1
0.0796813;1
0.0836653;1
0.0876494;1
0.0916335;1
0.0956175;1
0.0996016;1
0.103586;1
0.10757;1
0.111554;1
0.115538;1
0.119522;1
0.123506;1
0.12749;1
0.131474;1
0.135458;1
0.139442;1
0.143426;1
0.14741;1
0.151394;1
0.155378;1
0.159363;1
0.163347;1
0.167331;1
0.171315;1
0.175299;1
0.179283;1
0.183267;1
0.187251;1
0.191235;1
0.195219;1
0.199203;1
0.203187;1
0.207171;1
0.211155;1
0.215139;1
0.219124;1
0.223108;1
0.227092;1
0.231076;1
0.23506;1
0.239044;1
0.243028;1
0.247012;1
0.250996;1
0.25498;1
0.258964;1
0.262948;1
0.266932;1
0.270916;1
0.2749;1
0.278884;1
0.282869;1
0.286853;1
0.290837;1
0.294821;1
0.298805;1
0.302789;1
0.306773;1
0.310757;1
0.314741;1
0.318725;1
0.322709;1
0.326693;1
0.330677;1
0.334661;1
0.338645;1
0.342629;1
0.346614;1
0.350598;1
0.354582;1
0.358566;1
0.36255;1
0.366534;1
0.370518;1
0.374502;1
0.378486;1
0.38247;1
0.386454;1
0.390438;1
0.394422;1
0.398406;1
0.40239;1
0.406375;1
0.410359;1
0.414343;1
0.418327;1
0.422311;1
0.426295;1
0.430279;1
0.434263;1
0.438247;1
0.442231;1
0.446215;1
0.450199;1
0.454183;1
0.458167;1
0.462151;1
0.466135;1
0.47012;1
0.474104;1
0.478088;1
0.482072;1
0.486056;1
0.49004;1
0.494024;1
0.498008;1
0.501992;1
0.505976;1
0.50996;1
0.513944;1
0.517928;1
0.521912;1
0.525896;1
0.52988;1
0.533865;1
0.537849;1
0.541833;1
0.545817;1
0.549801;1
0.553785;1
0.557769;1
0.561753;1
0.565737;1
0.569721;1
0.573705;1
0.577689;1
0.581673;1
0.585657;1
0.589641;1
0.593625;1
0.59761;1
0.601594;1
0.605578;1
0.609562;1
0.613546;1
0.61753;1
0.621514;1
0.625498;1
0.629482;1
0.633466;1
0.63745;1
0.641434;1
0.645418;1
0.649402;1
0.653386;1
0.657371;1
0.661355;1
0.665339;1
0.669323;1
0.673307;1
0.677291;1
0.681275;1
0.685259;1
0.689243;1
0.693227;1
0.697211;1
0.701195;1
0.705179;1
0.709163;1
0.713147;1
0.717131;1
0.721116;1
0.7251;1
0.729084;1
0.733068;1
0.737052;1
0.741036;1
0.74502;1
0.749004;1
0.752988;1
0.756972;1
0.760956;1
0.76494;1
0.768924;1
0.772908;1
0.776892;1
0.780876;1
0.784861;1
0.788845;1
0.792829;1
0.796813;1
0.800797;1
0.804781;1
0.808765;1
0.812749;1
0.816733;1
0.820717;1
0.824701;1
0.824701;0.995192
0.828685;0.995215
0.832669;0.995238
0.836653;0.995261
0.840637;0.995283
0.844622;0.995305
0.848606;0.995327
0.848606;0.990698
0.848606;0.986111
0.85259;0.986175
0.85259;0.981651
0.856574;0.981735
0.860558;0.981818
0.860558;0.977376
0.860558;0.972973
0.860558;0.96861
0.860558;0.964286
0.860558;0.96
0.864542;0.960177
0.864542;0.955947
0.864542;0.951754
0.868526;0.951965
0.868526;0.947826
0.868526;0.943723
0.868526;0.939655
0.868526;0.935622
0.87251;0.935897
0.87251;0.931915
0.876494;0.932203
0.876494;0.92827
0.880478;0.928571
0.880478;0.924686
0.880478;0.920833
0.884462;0.921162
0.884462;0.917355
0.884462;0.91358
0.888446;0.913934
0.888446;0.910204
0.888446;0.906504
0.888446;0.902834
0.89243;0.903226
0.89243;0.899598
0.89243;0.896
0.89243;0.89243
0.89243;0.888889
0.896414;0.889328
0.896414;0.885827
0.896414;0.882353
0.896414;0.878906
0.896414;0.875486
0.896414;0.872093
0.900398;0.872587
0.900398;0.869231
0.900398;0.8659
0.900398;0.862595
0.904382;0.863118
0.908367;0.863636
0.908367;0.860377
0.908367;0.857143
0.908367;0.853933
0.912351;0.854478
0.916335;0.855019
0.920319;0.855556
0.924303;0.856089
0.924303;0.852941
0.928287;0.85348
0.928287;0.850365
0.928287;0.847273
0.928287;0.844203
0.932271;0.844765
0.932271;0.841727
0.936255;0.842294
0.936255;0.839286
0.936255;0.836299
0.936255;0.833333
0.936255;0.830389
0.936255;0.827465
0.936255;0.824561
0.936255;0.821678
0.936255;0.818815
0.936255;0.815972
0.936255;0.813149
0.936255;0.810345
0.936255;0.80756
0.936255;0.804795
0.936255;0.802048
0.936255;0.79932
0.936255;0.79661
0.936255;0.793919
0.936255;0.791246
0.936255;0.788591
0.936255;0.785953
0.940239;0.786667
0.940239;0.784053
0.940239;0.781457
0.940239;0.778878
0.940239;0.776316
0.940239;0.77377
0.940239;0.771242
0.940239;0.76873
0.940239;0.766234
0.940239;0.763754
0.940239;0.76129
0.940239;0.758842
0.940239;0.75641
0.940239;0.753994
0.940239;0.751592
0.940239;0.749206
0.940239;0.746835
0.944223;0.747634
0.944223;0.745283
0.944223;0.742947
0.944223;0.740625
0.944223;0.738318
0.944223;0.736025
0.944223;0.733746
0.944223;0.731481
0.944223;0.729231
0.944223;0.726994
0.944223;0.724771
0.948207;0.72561
0.948207;0.723404
0.948207;0.721212
0.948207;0.719033
0.948207;0.716867
0.948207;0.714715
0.948207;0.712575
0.948207;0.710448
0.948207;0.708333
0.948207;0.706231
0.952191;0.707101
0.952191;0.705015
0.952191;0.702941
0.956175;0.703812
0.956175;0.701754
0.956175;0.699708
0.956175;0.697674
0.956175;0.695652
0.956175;0.693642
0.956175;0.691643
0.956175;0.689655
0.956175;0.687679
0.956175;0.685714
0.956175;0.683761
0.956175;0.681818
0.956175;0.679887
0.956175;0.677966
0.956175;0.676056
0.956175;0.674157
0.956175;0.672269
0.956175;0.670391
0.956175;0.668524
0.956175;0.666667
0.956175;0.66482
0.956175;0.662983
0.956175;0.661157
0.956175;0.659341
0.956175;0.657534
0.956175;0.655738
0.956175;0.653951
0.956175;0.652174
0.956175;0.650407
0.960159;0.651351
0.960159;0.649596
0.960159;0.647849
0.960159;0.646113
0.960159;0.644385
0.960159;0.642667
0.960159;0.640957
0.960159;0.639257
0.964143;0.640212
0.964143;0.638522
0.964143;0.636842
0.964143;0.635171
0.964143;0.633508
0.964143;0.631854
0.964143;0.630208
0.964143;0.628571
0.964143;0.626943
0.964143;0.625323
0.964143;0.623711
0.964143;0.622108
0.964143;0.620513
0.964143;0.618926
0.964143;0.617347
0.964143;0.615776
0.964143;0.614213
0.964143;0.612658
0.964143;0.611111
0.964143;0.609572
0.964143;0.60804
0.964143;0.606516
0.964143;0.605
0.964143;0.603491
0.964143;0.60199
0.964143;0.600496
0.964143;0.59901
0.964143;0.597531
0.968127;0.598522
0.968127;0.597052
0.968127;0.595588
0.968127;0.594132
0.968127;0.592683
0.968127;0.591241
0.968127;0.589806
0.968127;0.588378
0.968127;0.586957
0.972112;0.587952
0.972112;0.586538
0.972112;0.585132
0.972112;0.583732
0.972112;0.582339
0.972112;0.580952
0.972112;0.579572
0.972112;0.578199
0.972112;0.576832
0.972112;0.575472
0.972112;0.574118
0.972112;0.57277
0.972112;0.571429
0.972112;0.570093
0.972112;0.568765
0.972112;0.567442
0.972112;0.566125
0.972112;0.564815
0.972112;0.56351
0.972112;0.562212
0.972112;0.56092
0.972112;0.559633
0.972112;0.558352
0.972112;0.557078
0.972112;0.555809
0.972112;0.554545
0.972112;0.553288
0.972112;0.552036
0.972112;0.55079
0.972112;0.54955
0.972112;0.548315
0.972112;0.547085
0.972112;0.545861
0.972112;0.544643
0.972112;0.54343
0.972112;0.542222
0.972112;0.54102
0.972112;0.539823
0.972112;0.538631
0.972112;0.537445
0.972112;0.536264
0.972112;0.535088
0.972112;0.533917
0.972112;0.532751
0.972112;0.53159
0.972112;0.530435
0.972112;0.529284
0.972112;0.528139
0.972112;0.526998
0.972112;0.525862
0.972112;0.524731
0.972112;0.523605
0.972112;0.522484
0.972112;0.521368
0.972112;0.520256
0.972112;0.519149
0.972112;0.518047
0.972112;0.516949
0.972112;0.515856
0.972112;0.514768
0.972112;0.513684
0.972112;0.512605
0.972112;0.51153
0.972112;0.51046
0.972112;0.509395
0.972112;0.508333
0.972112;0.507277
0.972112;0.506224
0.972112;0.505176
0.972112;0.504132
0.972112;0.503093
0.972112;0.502058
0.976096;0.50308
0.976096;0.502049
0.976096;0.501022
0.976096;0.5
0.976096;0.498982
0.976096;0.497967
0.976096;0.496957
0.976096;0.495951
0.976096;0.494949
0.976096;0.493952
0.976096;0.492958
0.976096;0.491968
0.976096;0.490982
0.976096;0.49
0.976096;0.489022
0.976096;0.488048
0.976096;0.487078
0.976096;0.486111
0.976096;0.485149
0.976096;0.48419
0.976096;0.483235
0.976096;0.482283
0.976096;0.481336
0.976096;0.480392
0.976096;0.479452
0.976096;0.478516
0.976096;0.477583
0.976096;0.476654
0.976096;0.475728
0.976096;0.474806
0.976096;0.473888
0.976096;0.472973
0.976096;0.472062
0.976096;0.471154
0.976096;0.47025
0.976096;0.469349
0.976096;0.468451
0.976096;0.467557
0.976096;0.466667
0.976096;0.465779
0.976096;0.464896
0.976096;0.464015
0.976096;0.463138
0.976096;0.462264
0.976096;0.461394
0.976096;0.460526
0.976096;0.459662
0.976096;0.458801
0.976096;0.457944
0.976096;0.45709
0.976096;0.456238
0.976096;0.45539
0.976096;0.454545
0.976096;0.453704
0.976096;0.452865
0.976096;0.45203
0.976096;0.451197
0.976096;0.450368
0.976096;0.449541
0.976096;0.448718
0.976096;0.447898
0.976096;0.44708
0.976096;0.446266
0.976096;0.445455
0.976096;0.444646
0.976096;0.443841
0.976096;0.443038
0.976096;0.442238
0.976096;0.441441
0.976096;0.440647
0.976096;0.439856
0.976096;0.439068
