x;y
0.00160514;1
0.00321027;1
0.00481541;1
0.00642055;1
0.00802568;1
0.00963082;1
0.011236;1
0.0128411;1
0.0144462;1
0.0160514;1
0.0176565;1
0.0192616;1
0.0208668;1
0.0224719;1
0.024077;1
0.0256822;1
0.0272873;1
0.0288925;1
0.0304976;1
0.0321027;1
0.0337079;1
0.035313;1
0.0369181;1
0.0385233;1
0.0401284;1
0.0417335;1
0.0433387;1
0.0449438;1
0.046549;1
0.0481541;1
0.0497592;1
0.0513644;1
0.0529695;1
0.0545746;1
0.0561798;1
0.0577849;1
0.05939;1
0.0609952;1
0.0626003;1
0.0642055;1
0.0658106;1
0.0674157;1
0.0690209;1
0.070626;1
0.0722311;1
0.0738363;1
0.0754414;1
0.0770465;1
0.0786517;1
0.0802568;1
0.081862;1
0.0834671;1
0.0850722;1
0.0866774;1
0.0882825;1
0.0898876;1
0.0914928;1
0.0930979;1
0.094703;1
0.0963082;1
0.0979133;1
0.0995185;1
0.101124;1
0.102729;1
0.104334;1
0.105939;1
0.107544;1
0.109149;1
0.110754;1
0.11236;1
0.113965;1
0.11557;1
0.117175;1
0.11878;1
0.120385;1
0.12199;1
0.123596;1
0.125201;1
0.126806;1
0.128411;1
0.130016;1
0.131621;1
0.133226;1
0.134831;1
0.136437;1
0.138042;1
0.139647;1
0.141252;1
0.142857;1
0.144462;1
0.146067;1
0.147673;1
0.149278;1
0.150883;1
0.152488;1
0.154093;1
0.155698;1
0.157303;1
0.158909;1
0.160514;1
0.162119;1
0.163724;1
0.165329;1
0.166934;1
0.168539;1
0.170144;1
0.17175;1
0.173355;1
0.17496;1
0.176565;1
0.17817;1
0.179775;1
0.18138;1
0.182986;1
0.184591;1
0.186196;1
0.187801;1
0.189406;1
0.191011;1
0.192616;1
0.194222;1
0.195827;1
0.197432;1
0.199037;1
0.200642;1
0.202247;1
0.203852;1
0.205457;1
0.207063;1
0.208668;1
0.210273;1
0.211878;1
0.213483;1
0.215088;1
0.216693;1
0.218299;1
0.219904;1
0.221509;1
0.223114;1
0.224719;1
0.226324;1
0.227929;1
0.229535;1
0.23114;1
0.232745;1
0.23435;1
0.235955;1
0.23756;1
0.239165;1
0.24077;1
0.242376;1
0.243981;1
0.245586;1
0.247191;1
0.248796;1
0.250401;1
0.252006;1
0.253612;1
0.255217;1
0.256822;1
0.258427;1
0.260032;1
0.261637;1
0.263242;1
0.264848;1
0.266453;1
0.268058;1
0.269663;1
0.269663;0.994083
0.271268;0.994118
0.272873;0.994152
0.274478;0.994186
0.276083;0.99422
0.277689;0.994253
0.279294;0.994286
0.280899;0.994318
0.282504;0.99435
0.284109;0.994382
0.285714;0.994413
0.287319;0.994444
0.288925;0.994475
0.29053;0.994505
0.292135;0.994536
0.29374;0.994565
0.295345;0.994595
0.29695;0.994624
0.298555;0.994652
0.300161;0.994681
0.301766;0.994709
0.303371;0.994737
0.304976;0.994764
0.306581;0.994792
0.308186;0.994819
0.309791;0.994845
0.311396;0.994872
0.313002;0.994898
0.314607;0.994924
0.316212;0.994949
0.317817;0.994975
0.319422;0.995
0.321027;0.995025
0.322632;0.99505
0.324238;0.995074
0.325843;0.995098
0.327448;0.995122
0.329053;0.995146
0.330658;0.995169
0.332263;0.995192
0.333868;0.995215
0.335474;0.995238
0.337079;0.995261
0.338684;0.995283
0.340289;0.995305
0.341894;0.995327
0.343499;0.995349
0.345104;0.99537
0.346709;0.995392
0.348315;0.995413
0.34992;0.995434
0.351525;0.995455
0.35313;0.995475
0.354735;0.995495
0.35634;0.995516
0.357945;0.995536
0.359551;0.995556
0.361156;0.995575
0.362761;0.995595
0.364366;0.995614
0.365971;0.995633
0.367576;0.995652
0.369181;0.995671
0.370787;0.99569
0.372392;0.995708
0.373997;0.995726
0.375602;0.995745
0.377207;0.995763
0.378812;0.995781
0.380417;0.995798
0.382022;0.995816
0.383628;0.995833
0.385233;0.995851
0.386838;0.995868
0.388443;0.995885
0.390048;0.995902
0.391653;0.995918
0.393258;0.995935
0.394864;0.995951
0.396469;0.995968
0.398074;0.995984
