x;y
0.00473934;1
0.00947867;1
0.014218;1
0.0189573;1
0.0236967;1
0.028436;1
0.0331754;1
0.0379147;1
0.042654;1
0.0473934;1
0.0521327;1
0.056872;1
0.0616114;1
0.0663507;1
0.07109;1
0.0758294;1
0.0805687;1
0.0853081;1
0.0900474;1
0.0947867;1
0.0995261;1
0.104265;1
0.109005;1
0.113744;1
0.118483;1
0.123223;1
0.127962;1
0.132701;1
0.137441;1
0.14218;1
0.146919;1
0.151659;1
0.156398;1
0.161137;1
0.165877;1
0.170616;1
0.175355;1
0.180095;1
0.184834;1
0.189573;1
0.194313;1
0.199052;1
0.203791;1
0.208531;1
0.21327;1
0.218009;1
0.222749;1
0.227488;1
0.227488;0.979592
0.232227;0.98
0.236967;0.980392
0.241706;0.980769
0.246445;0.981132
0.251185;0.981481
0.255924;0.981818
0.260664;0.982143
0.265403;0.982456
0.270142;0.982759
0.274882;0.983051
0.279621;0.983333
0.28436;0.983607
0.2891;0.983871
0.2891;0.968254
0.293839;0.96875
0.298578;0.969231
0.303318;0.969697
0.308057;0.970149
0.312796;0.970588
0.317536;0.971014
0.317536;0.957143
0.322275;0.957746
0.327014;0.958333
0.331754;0.958904
0.336493;0.959459
0.341232;0.96
0.345972;0.960526
0.350711;0.961039
0.35545;0.961538
0.36019;0.962025
0.36019;0.95
0.36019;0.938272
0.364929;0.939024
0.369668;0.939759
0.374408;0.940476
0.379147;0.941176
0.383886;0.94186
0.388626;0.942529
0.393365;0.943182
0.398104;0.94382
0.402844;0.944444
0.407583;0.945055
0.412322;0.945652
0.417062;0.946237
0.421801;0.946809
0.42654;0.947368
0.43128;0.947917
0.43128;0.938144
0.436019;0.938776
0.440758;0.939394
0.445498;0.94
0.450237;0.940594
0.454976;0.941176
0.459716;0.941748
0.464455;0.942308
0.469194;0.942857
0.473934;0.943396
0.478673;0.943925
0.483412;0.944444
0.488152;0.944954
0.492891;0.945455
0.492891;0.936937
0.49763;0.9375
0.50237;0.938053
0.50237;0.929825
0.507109;0.930435
0.507109;0.922414
0.511848;0.923077
0.516588;0.923729
0.516588;0.915966
0.521327;0.916667
0.526066;0.917355
0.530806;0.918033
0.535545;0.918699
0.540284;0.919355
0.540284;0.912
0.540284;0.904762
0.545024;0.905512
0.545024;0.898438
0.545024;0.891473
0.545024;0.884615
0.549763;0.885496
0.549763;0.878788
0.554502;0.879699
0.554502;0.873134
0.554502;0.866667
0.559242;0.867647
0.559242;0.861314
0.559242;0.855072
0.559242;0.848921
0.563981;0.85
0.563981;0.843972
0.56872;0.84507
0.57346;0.846154
0.578199;0.847222
0.578199;0.841379
0.582938;0.842466
0.582938;0.836735
0.582938;0.831081
0.587678;0.832215
0.587678;0.826667
0.592417;0.827815
0.592417;0.822368
0.597156;0.823529
0.597156;0.818182
0.597156;0.812903
0.597156;0.807692
0.601896;0.808917
0.601896;0.803797
0.601896;0.798742
0.606635;0.8
0.611374;0.801242
0.611374;0.796296
0.611374;0.791411
0.616114;0.792683
0.620853;0.793939
0.620853;0.789157
0.620853;0.784431
0.620853;0.779762
0.625592;0.781065
0.630332;0.782353
0.635071;0.783626
0.63981;0.784884
0.63981;0.780347
0.64455;0.781609
0.64455;0.777143
0.64455;0.772727
0.64455;0.768362
0.64455;0.764045
0.64455;0.759777
0.64455;0.755556
0.64455;0.751381
0.649289;0.752747
0.649289;0.748634
0.649289;0.744565
0.649289;0.740541
0.649289;0.736559
0.649289;0.73262
0.654028;0.734043
0.654028;0.730159
0.654028;0.726316
0.654028;0.722513
0.654028;0.71875
0.654028;0.715026
0.654028;0.71134
0.654028;0.707692
0.658768;0.709184
0.663507;0.71066
0.668246;0.712121
0.668246;0.708543
0.668246;0.705
0.668246;0.701493
0.668246;0.69802
0.668246;0.694581
0.668246;0.691176
0.668246;0.687805
0.672986;0.68932
0.672986;0.68599
0.672986;0.682692
0.672986;0.679426
0.672986;0.67619
0.672986;0.672986
0.672986;0.669811
0.672986;0.666667
0.677725;0.668224
0.677725;0.665116
0.677725;0.662037
0.677725;0.658986
0.682464;0.66055
0.682464;0.657534
0.687204;0.659091
0.687204;0.656109
0.687204;0.653153
0.687204;0.650224
0.691943;0.651786
0.691943;0.648889
0.691943;0.646018
0.696682;0.647577
0.696682;0.644737
0.696682;0.641921
0.696682;0.63913
0.701422;0.640693
0.701422;0.637931
0.701422;0.635193
0.701422;0.632479
0.701422;0.629787
0.701422;0.627119
0.701422;0.624473
0.701422;0.621849
0.701422;0.619247
0.706161;0.620833
0.706161;0.618257
0.706161;0.615702
0.706161;0.613169
0.706161;0.610656
0.706161;0.608163
0.7109;0.609756
0.7109;0.607287
0.7109;0.604839
0.7109;0.60241
0.7109;0.6
0.7109;0.59761
0.71564;0.599206
0.71564;0.596838
0.71564;0.594488
0.71564;0.592157
0.71564;0.589844
0.71564;0.587549
0.720379;0.589147
0.720379;0.586873
0.720379;0.584615
0.720379;0.582375
0.720379;0.580153
0.720379;0.577947
0.720379;0.575758
0.725118;0.577358
0.725118;0.575188
0.725118;0.573034
0.725118;0.570896
0.725118;0.568773
0.729858;0.57037
0.729858;0.568266
0.729858;0.566176
0.734597;0.567766
0.734597;0.565693
0.734597;0.563636
0.739336;0.565217
0.739336;0.563177
0.739336;0.561151
0.739336;0.55914
0.739336;0.557143
0.744076;0.558719
0.744076;0.556738
0.748815;0.558304
0.748815;0.556338
0.748815;0.554386
0.748815;0.552448
0.748815;0.550523
0.748815;0.548611
0.753555;0.550173
0.753555;0.548276
0.753555;0.546392
0.753555;0.544521
0.753555;0.542662
0.758294;0.544218
0.758294;0.542373
0.758294;0.540541
0.758294;0.538721
0.758294;0.536913
0.758294;0.535117
0.763033;0.536667
0.763033;0.534884
0.763033;0.533113
0.763033;0.531353
0.763033;0.529605
0.767773;0.531148
0.767773;0.529412
0.767773;0.527687
0.772512;0.529221
0.772512;0.527508
0.772512;0.525806
0.772512;0.524116
0.772512;0.522436
0.777251;0.523962
0.777251;0.522293
0.777251;0.520635
0.781991;0.522152
0.781991;0.520505
0.781991;0.518868
0.781991;0.517241
0.781991;0.515625
0.781991;0.514019
0.78673;0.515528
0.78673;0.513932
0.78673;0.512346
0.78673;0.510769
0.78673;0.509202
0.78673;0.507645
0.78673;0.506098
