0;464;
1;1699;
2;1209;
3;831;
4;817;
5;1128;
6;1710;
7;562;
8;482;
9;509;
10;267;
11;160;
12;141;
13;252;
14;408;
15;425;
16;12194;
17;1092;
18;0;
19;0;
20;0;
21;0;
22;940;
23;12789;
24;6452;
25;1902;
26;593;
27;120;
28;183;
29;410;
30;904;
31;2912;
32;9951;
33;0;
34;0;
35;0;
36;0;
37;0;
38;0;
39;17839;
40;10355;
41;0;
42;0;
43;0;
44;0;
45;0;
46;20;
47;3319;
48;6407;
49;0;
50;0;
51;0;
52;0;
53;0;
54;0;
55;4540;
56;4037;
57;0;
58;0;
59;0;
60;0;
61;0;
62;0;
63;1536;
64;2537;
65;0;
66;0;
67;0;
68;0;
69;0;
70;0;
71;1469;
72;2304;
73;0;
74;0;
75;0;
76;0;
77;0;
78;0;
79;3654;
80;706;
81;0;
82;0;
83;0;
84;0;
85;0;
86;0;
87;383;
88;807;
89;0;
90;0;
91;0;
92;0;
93;0;
94;0;
95;1311;
96;281;
97;0;
98;0;
99;0;
100;0;
101;0;
102;0;
103;106;
104;296;
105;0;
106;0;
107;0;
108;0;
109;0;
110;0;
111;737;
112;203;
113;0;
114;0;
115;0;
116;0;
117;0;
118;0;
119;17;
120;157;
121;0;
122;0;
123;0;
124;0;
125;0;
126;0;
127;141;
0;906;
1;689;
2;872;
3;1093;
4;1103;
5;889;
6;790;
7;1051;
8;423;
9;213;
10;121;
11;133;
12;123;
13;105;
14;121;
15;236;
16;10436;
17;3749;
18;916;
19;157;
20;1;
21;697;
22;2765;
23;12999;
24;3673;
25;1806;
26;940;
27;509;
28;655;
29;903;
30;574;
31;1380;
32;9687;
33;0;
34;0;
35;0;
36;0;
37;0;
38;0;
39;20241;
40;7619;
41;609;
42;0;
43;0;
44;0;
45;0;
46;639;
47;3103;
48;4185;
49;0;
50;0;
51;0;
52;0;
53;0;
54;0;
55;4194;
56;4422;
57;0;
58;0;
59;0;
60;0;
61;0;
62;31;
63;3688;
64;1883;
65;0;
66;0;
67;0;
68;0;
69;0;
70;0;
71;1507;
72;2268;
73;0;
74;0;
75;0;
76;0;
77;0;
78;0;
79;4399;
80;757;
81;0;
82;0;
83;0;
84;0;
85;0;
86;0;
87;411;
88;781;
89;0;
90;0;
91;0;
92;0;
93;0;
94;0;
95;1272;
96;729;
97;0;
98;0;
99;0;
100;0;
101;0;
102;0;
103;111;
104;291;
105;0;
106;0;
107;0;
108;0;
109;0;
110;0;
111;295;
112;290;
113;0;
114;0;
115;0;
116;0;
117;0;
118;0;
119;5;
120;169;
121;0;
122;0;
123;0;
124;0;
125;0;
126;0;
127;54;
0;243;
1;2;
2;8;
3;105;
4;119;
5;78;
6;49;
7;54;
8;736;
9;382;
10;260;
11;233;
12;219;
13;238;
14;333;
15;737;
16;3911;
17;4943;
18;2705;
19;2026;
20;1625;
21;2905;
22;5269;
23;6166;
24;4575;
25;1775;
26;1482;
27;1012;
28;1230;
29;1069;
30;824;
31;3094;
32;8080;
33;1441;
34;64;
35;0;
36;0;
37;0;
38;11;
39;20729;
40;6316;
41;2279;
42;312;
43;67;
44;49;
45;211;
46;1241;
47;3268;
48;3775;
49;0;
50;0;
51;0;
52;0;
53;0;
54;0;
55;4401;
56;4330;
57;17;
58;0;
59;0;
60;0;
61;0;
62;471;
63;3750;
64;1876;
65;0;
66;0;
67;0;
68;0;
69;0;
70;0;
71;1837;
72;1950;
73;0;
74;0;
75;0;
76;0;
77;0;
78;101;
79;4474;
80;872;
81;0;
82;0;
83;0;
84;0;
85;0;
86;0;
87;428;
88;767;
89;0;
90;0;
91;0;
92;0;
93;0;
94;3;
95;1190;
96;901;
97;0;
98;0;
99;0;
100;0;
101;0;
102;0;
103;129;
104;274;
105;0;
106;0;
107;0;
108;0;
109;0;
110;0;
111;128;
112;278;
113;0;
114;0;
115;0;
116;0;
117;0;
118;0;
119;6;
120;168;
