x;y
0.00518135;1
0.0103627;1
0.015544;1
0.0207254;1
0.0259067;1
0.0310881;1
0.0362694;1
0.0414508;1
0.0466321;1
0.0518135;1
0.0569948;1
0.0621762;1
0.0673575;1
0.0725389;1
0.0777202;1
0.0829016;1
0.0880829;1
0.0932642;1
0.0984456;1
0.103627;1
0.108808;1
0.11399;1
0.119171;1
0.124352;1
0.129534;1
0.134715;1
0.139896;1
0.145078;1
0.150259;1
0.15544;1
0.160622;1
0.165803;1
0.170984;1
0.176166;1
0.176166;0.971429
0.181347;0.972222
0.181347;0.945946
0.186528;0.947368
0.19171;0.948718
0.196891;0.95
0.202073;0.95122
0.207254;0.952381
0.212435;0.953488
0.217617;0.954545
0.222798;0.955556
0.227979;0.956522
0.233161;0.957447
0.238342;0.958333
0.243523;0.959184
0.243523;0.94
0.248705;0.941176
0.248705;0.923077
0.253886;0.924528
0.253886;0.907407
0.259067;0.909091
0.264249;0.910714
0.26943;0.912281
0.274611;0.913793
0.279793;0.915254
0.284974;0.916667
0.290155;0.918033
0.295337;0.919355
0.300518;0.920635
0.305699;0.921875
0.310881;0.923077
0.316062;0.924242
0.321244;0.925373
0.326425;0.926471
0.331606;0.927536
0.336788;0.928571
0.341969;0.929577
0.341969;0.916667
0.34715;0.917808
0.352332;0.918919
0.352332;0.906667
0.357513;0.907895
0.362694;0.909091
0.367876;0.910256
0.367876;0.898734
0.373057;0.9
0.378238;0.901235
0.38342;0.902439
0.388601;0.903614
0.393782;0.904762
0.393782;0.894118
0.398964;0.895349
0.404145;0.896552
0.409326;0.897727
0.409326;0.88764
0.414508;0.888889
0.419689;0.89011
0.42487;0.891304
0.430052;0.892473
0.435233;0.893617
0.440415;0.894737
0.445596;0.895833
0.450777;0.896907
0.455959;0.897959
0.46114;0.89899
0.46114;0.89
0.466321;0.891089
0.466321;0.882353
0.471503;0.883495
0.476684;0.884615
0.481865;0.885714
0.487047;0.886792
0.492228;0.88785
0.492228;0.87963
0.497409;0.880734
0.502591;0.881818
0.507772;0.882883
0.512953;0.883929
0.518135;0.884956
0.523316;0.885965
0.528497;0.886957
0.533679;0.887931
0.53886;0.888889
0.544041;0.889831
0.549223;0.890756
0.549223;0.883333
0.549223;0.876033
0.554404;0.877049
0.554404;0.869919
0.559585;0.870968
0.564767;0.872
0.564767;0.865079
0.569948;0.866142
0.57513;0.867188
0.57513;0.860465
